dataset,model,fs_strategy,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std,fs_time_mean,fit_time_mean,n_features_before_mean,n_features_after_mean,stability
Breast Cancer,LogisticRegression,none,0.9719051148999258,0.014010378057820627,0.9612584017923824,0.01951082897684836,0.9940649120085083,0.0038150964714576685,0.0,0.006192428059875965,30.0,30.0,
Breast Cancer,LogisticRegression,heuristic,0.9719051148999258,0.014010378057820627,0.9612584017923824,0.01951082897684836,0.9940649120085083,0.0038150964714576685,0.009753108024597168,0.004666563123464584,30.0,30.0,1.0
Breast Cancer,LDA,none,0.9543118359278477,0.0034346429453916416,0.9353465346534653,0.004653465346534602,0.991183529679289,0.003463491732625279,0.0,0.002740895375609398,30.0,30.0,
Breast Cancer,LDA,heuristic,0.9543118359278477,0.0034346429453916416,0.9353465346534653,0.004653465346534602,0.991183529679289,0.003463491732625279,0.009296178817749023,0.0027530845254659653,30.0,30.0,1.0
Breast Cancer,RandomForest,none,0.9560723993081295,0.005195206325673385,0.9400303643724697,0.0073380566801619085,0.9856130002854291,0.005350535860426386,0.0,0.34947924315929413,30.0,30.0,
Breast Cancer,RandomForest,heuristic,0.9560723993081295,0.005195206325673385,0.9400303643724697,0.0073380566801619085,0.9856130002854291,0.005350535860426386,0.012956738471984863,0.37210427317768335,30.0,30.0,1.0
Breast Cancer,XGBoost,none,0.9578391401037806,0.010470719051149047,0.9427878183178757,0.014558153246105376,0.9885733641422977,0.005596659177609098,0.0,0.36019190214574337,30.0,30.0,
Breast Cancer,XGBoost,heuristic,0.9578391401037806,0.010470719051149047,0.9427878183178757,0.014558153246105376,0.9885733641422977,0.005596659177609098,0.06319892406463623,0.3069007908925414,30.0,30.0,1.0
Bank Marketing,LogisticRegression,none,0.8948707108919081,0.0002898659460995878,0.5282334742627529,0.002273657274489582,0.8883009199887996,0.0004307072895368691,0.0,5.302027462981641,47.0,47.0,
Bank Marketing,LogisticRegression,heuristic,0.8749419476536042,0.0003953670997689507,0.2653312262360624,0.0027207218158856183,0.6715242546872726,0.0057202184801847245,25.016417384147644,2.887360977008939,47.0,30.0,1.0
Bank Marketing,LDA,none,0.897237420432606,0.0010151785499199484,0.4659803332369732,0.01105468267935239,0.8728678469509512,0.0044850865795693085,0.0,0.18951381742954254,47.0,47.0,
Bank Marketing,LDA,heuristic,0.8795647345525262,0.0012138542552598275,0.17727947884687162,0.013654174710618597,0.6712078239868448,0.004128664237810553,23.226022839546204,0.2550430856645107,47.0,30.0,1.0
Bank Marketing,RandomForest,none,0.8950476345184228,0.0013957875819044507,0.558895508715529,0.005569607563540857,0.918837219257455,0.0023505335334551014,0.0,12.03166196681559,47.0,47.0,
Bank Marketing,RandomForest,heuristic,0.8604984498989772,0.004581617339808941,0.26163082633379564,0.006623498537019906,0.6390880638487713,9.719428549798125e-05,21.474377274513245,5.030300742015243,47.0,30.0,1.0
Bank Marketing,XGBoost,none,0.9022361863047206,0.00021902271983159638,0.5825941643474284,0.004097494509179012,0.9250591516701091,0.0008172240868135061,0.0,6.897226635366678,47.0,47.0,
Bank Marketing,XGBoost,heuristic,0.8633738661125938,0.004139183520247003,0.30618499707171276,0.015060736716683149,0.6766593982974738,0.0059336286042279696,22.839279413223267,14.363553551957011,47.0,30.0,1.0
CIFAR-10,LogisticRegression,none,0.293,0.0030000000000000027,0.2947031169831057,0.0003840599807859446,0.7242417385709881,0.004995737268497946,0.0,70.45555649045855,3072.0,3072.0,
CIFAR-10,LogisticRegression,heuristic,0.23,0.0040000000000000036,0.21921120232799657,0.0044641368722925096,0.6659002714939195,0.011106158280206113,11.422197580337524,7.454643745906651,3072.0,153.0,0.5941666834599547
CIFAR-10,LDA,none,0.191,0.009000000000000008,0.19022787675631808,0.00671103593452986,0.6274609220476958,0.00030668143779888357,0.0,3.3149758679792285,3072.0,3072.0,
CIFAR-10,LDA,heuristic,0.177,0.02500000000000001,0.17226705837595052,0.02166336576488044,0.60293326977146,0.010286984230664487,11.711266994476318,0.21481390297412872,3072.0,153.0,0.5941666834599547
CIFAR-10,RandomForest,none,0.346,0.01999999999999999,0.3397419777279219,0.021430816944197656,0.7673541301584376,0.018251791823236996,0.0,3.745623664930463,3072.0,3072.0,
CIFAR-10,RandomForest,heuristic,0.24,0.0059999999999999915,0.23247740746768097,0.0013193846192465775,0.695871812364836,0.0060557585461160635,11.239348530769348,1.1200040047988296,3072.0,153.0,0.5941666834599547
CIFAR-10,XGBoost,none,0.32499999999999996,0.031,0.32055350267972027,0.030411745693758457,0.7569414790685447,0.011080278530392507,0.0,77.4825657196343,3072.0,3072.0,
CIFAR-10,XGBoost,heuristic,0.225,0.0030000000000000027,0.22178161590940304,0.0001934668296400682,0.675555788493061,0.004402430590370099,11.18846571445465,20.66098252683878,3072.0,153.0,0.5941666834599547
